scope,variant,cohort,n_days,albedo,storage_fraction,delivered_water_l_m2,mean_daily_max_surface_c,mean_surface_c,mean_air_excess_k_h,mean_watering_effect_k_h,min_daily_watering_effect_k_h,max_daily_watering_effect_k_h,mean_daily_max_reduction_by_watering_k,mean_daily_mean_reduction_by_watering_k,mean_reflected_shortwave_mj_m2,mean_initial_surface_water_kg_m2,mean_initial_base_water_kg_m2,mean_final_surface_water_kg_m2,mean_final_base_water_kg_m2,mean_extra_evaporation_vs_no_water_kg_m2,mean_interaction_k_h,mean_absorbed_shortwave_j_m2,mean_downward_kg_m2,mean_drained_kg_m2,mean_evaporated_kg_m2,mean_ground_out_j_m2,mean_irrigation_kg_m2,mean_latent_out_j_m2,mean_net_longwave_j_m2,mean_rain_kg_m2,mean_runoff_kg_m2,mean_sensible_out_j_m2,mean_upward_kg_m2,mean_water_enthalpy_net_j_m2
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.25,1.4875,22.51815614521077,7.6566001668191985,59.75730707389137,0.5921232998516643,0.5921232998516643,0.5921232998516643,0.09381318649335668,0.018463982935714718,3.882,0.0,0.0,0.03014099750706338,1.4077397609477025e-05,0.01231067588033407,0.16196629767124193,9058000.000000004,1.445048326612604,1.4450342492150383,0.01231067588033407,1455511.9267397344,1.4875000000000071,30161.155906818454,-4901092.867581547,0.0,0.0,2372714.8306688163,0.0,-494.31237025521267
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.3,1.785,22.4977144400503,7.652574001892419,59.63009315360314,0.7193372201398915,0.7193372201398915,0.7193372201398915,0.11425489165382885,0.022490147862494148,3.882,0.0,0.0,0.03949893148397528,1.8448034558879637e-05,0.014895192385920505,0.19661784891111722,9058000.000000004,1.730605876130107,1.73058742809561,0.014895192385920505,1455495.7771115226,1.7850000000000061,36493.22134550523,-4898992.9575927295,0.0,0.0,2366644.8903230513,0.0,-2147.0547403338946
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.35,2.0825,22.477219283263715,7.648763225213712,59.50544404936713,0.8439863243759049,0.8439863243759049,0.8439863243759049,0.13475004844041294,0.02630092454120092,3.882,0.0,0.0,0.052608370476902394,2.457081749256886e-05,0.01747369213060508,0.23073420373316367,9058000.000000004,2.0124179373925064,2.012393366574913,0.01747369213060508,1456000.6702746896,2.08250000000001,42810.545719982474,-4896985.499698762,0.0,0.0,2360832.5372193065,0.0,-2325.9370376176416
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.4,2.3800000000000003,22.456678000568086,7.64504986834692,59.38257602283151,0.9668543509115253,0.9668543509115253,0.9668543509115253,0.15529133113604132,0.030014281407993337,3.882,0.0,0.0,0.07208909818747959,3.366932027567968e-05,0.02004572269973636,0.26445734240104457,9058000.000000004,2.2878651791127806,2.2878315097923285,0.02004572269973636,1456767.6696355408,2.379999999999991,49112.020614354115,-4895023.44867422,0.0,0.0,2355139.809644627,0.0,-1411.5745597898824
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.45,2.6775,22.436095032830192,7.641353913652019,59.25998610442435,1.0894442693186832,1.0894442693186832,1.0894442693186832,0.17587429887393569,0.03371023610289381,3.882,0.0,0.0,0.09944115447382976,0.16711610698125287,0.02261016814469629,0.29805799026152613,9058000.000000004,2.5554486773814697,2.388332570399978,0.02261016814469629,1457593.6215710347,2.6774999999999958,55394.911954505886,-4893074.901701392,0.0,0.0,2349482.379162346,0.0,2577.425297267325
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.5,2.975,22.415473422570503,7.637656665852151,59.137457556303524,1.2119728174395092,1.2119728174395092,1.2119728174395092,0.19649590913362402,0.03740748390276227,3.882,0.0,0.0,0.1276260662204565,0.4327365414354563,0.025166755086403408,0.3315882718468117,9058000.000000004,2.82220717869314,2.3894706372573666,0.025166755086403408,1458410.6768065835,2.9750000000000143,61658.549961688375,-4891132.687800568,0.0,0.0,2343842.049733517,0.0,8039.270707763516
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.55,3.2725000000000004,22.394815407232134,7.633958614716281,59.01500363096257,1.3344267427804652,1.3344267427804652,1.3344267427804652,0.21715392447199378,0.04110553503863201,3.882,0.0,0.0,0.15582922761461354,0.6985559979868474,0.027715421904302297,0.36504565911604914,9058000.000000004,3.088955350481087,2.3903993524939,0.027715421904302297,1459218.121908296,3.2724999999999853,67902.78366554061,-4889196.815888956,0.0,0.0,2338218.854508301,0.0,13504.416341851427
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.6,3.57,22.37412279178595,7.6302603624246155,58.89263531393147,1.4567950598115615,1.4567950598115615,1.4567950598115615,0.23784653991817706,0.04480378733029777,3.882,0.0,0.0,0.18404621898529425,0.9645254670878441,0.030256144662777137,0.398428212632723,9058000.000000004,3.355697636351937,2.391172169263761,0.030256144662777137,1460016.3462421608,3.5700000000000123,74127.55442380403,-4887267.310820596,0.0,0.0,2332612.871641335,0.0,18972.278284499294
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.65,3.8675,22.35339707798004,7.626562436108901,58.77036192557412,1.5790684481689112,1.5790684481689112,1.5790684481689112,0.2585722537240862,0.04850171364601241,3.882,0.0,0.0,0.2122740758689692,1.2306120832639507,0.03278892545156553,0.4317344436063024,9058000.000000004,3.6224369986794493,2.3918249154151554,0.03278892545156553,1460805.6333372921,3.867499999999988,80332.86735633554,-4885344.175027482,0.0,0.0,2327024.1143848374,0.0,24442.462494913
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.7,4.165,22.33263959597791,7.622865311791926,58.648191752488685,1.7012386212543475,1.7012386212543475,1.7012386212543475,0.27932973572621833,0.05219883796298763,3.882,0.0,0.0,0.24051063613547025,1.4967918810677974,0.03531378007105412,0.4649631313323681,9058000.000000004,3.8891755837935014,2.3923837027253754,0.03531378007105412,1461586.2082154101,4.16500000000002,86518.7611740826,-4883427.398983581,0.0,0.0,2321452.5614902074,0.0,29914.67965245066
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.75,4.4625,22.31185153462834,7.61916942054861,58.526132199494846,1.8232981742481869,1.8232981742481869,1.8232981742481869,0.3001177970757887,0.05589472920630367,3.882,0.0,0.0,0.26875439030675696,1.7630481350094884,0.037830735969622005,0.498113277907521,9058000.000000004,4.155914873723595,2.3928667387137685,0.037830735969622005,1462358.247974803,4.462499999999989,92685.30312557395,-4881516.963242958,0.0,0.0,2315898.162935558,0.0,35388.725730856706
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.8,4.760000000000001,22.291034026335726,7.615475164420519,58.40419019951743,1.945240174225603,1.945240174225603,1.945240174225603,0.3209353053684012,0.05958898533439427,3.882,0.0,0.0,0.2970040608350894,2.029366692265578,0.040339824144857046,0.5311839914716359,9058000.000000004,4.422656115020048,2.3932894227541293,0.040339824144857046,1463121.912359499,4.759999999999982,98832.56915489977,-4879612.84526843,0.0,0.0,2310360.859838385,0.0,40864.42699053409
baseline_all,baseline,winter_zero_recorded_amount,1,0.3,0.85,5.0575,22.270188112721293,7.611782911887144,58.28237206081813,2.0670583129248996,2.0670583129248996,2.0670583129248996,0.34178121898283464,0.06328123786776896,3.882,0.0,0.0,0.3252587733496148,2.2957378713119514,0.04284108221094016,0.5641745295705078,9058000.000000004,4.68940014443948,2.3936622731271835,0.04284108221094016,1463877.331298217,5.057500000000014,104960.65141680335,-4877715.016732967,0.0,0.0,2304840.576618466,0.0,46341.662460088104
